,Operator,Departure Time,Travel Duration,Arrival Time,price,Bus Type,Seats Left,Window Seats,rating,Source,Destination,distance
2574,Prasanna - Purple Bus,2024-11-07 17:00:00,12hrs 00mins,2024-11-07 05:00:00,1870,VE A/C Sleeper (2+1),18,9,4.0,Goa,Pune,442
2575,Prasanna - Purple Bus,2024-11-07 22:00:00,09hrs 30mins,2024-11-07 07:30:00,1920,VE A/C Sleeper (2+1),13,6,4.1,Goa,Pune,442
2576,Atmaram Travels ( Ashray ),2024-11-07 22:02:00,12hrs 08mins,2024-11-07 10:10:00,1699,A/C Sleeper (2+1),11,5,4.1,Goa,Pune,442
2577,VAILANKANNI TRAVELS,2024-11-07 18:30:00,12hrs 25mins,2024-11-07 06:55:00,1200,VE A/C Sleeper (2+1),27,13,3.7,Goa,Pune,442
2578,Atmaram Travels (Vishal),2024-11-07 17:30:00,13hrs 50mins,2024-11-07 07:20:00,1100,A/C Sleeper (2+1),20,12,3.8,Goa,Pune,442
2582,Atmaram Gobus,2024-11-07 20:01:00,10hrs 30mins,2024-11-07 06:31:00,1199,NON A/C Sleeper (2+1),16,7,4.2,Goa,Pune,442
2584,Ashray Grand,2024-11-07 22:00:00,11hrs 30mins,2024-11-07 09:30:00,2120,Volvo Multi-Axle A/C Sleeper (2+1) ,24,13,3.7,Goa,Pune,442
2585,Anand Tours And Travels,2024-11-07 20:00:00,10hrs 30mins,2024-11-07 06:30:00,1900,Volvo Multi-Axle A/C Sleeper (2+1) ,24,13,3.7,Goa,Pune,442
2586,Prasanna - Purple Bus,2024-11-07 22:15:00,09hrs 30mins,2024-11-07 07:45:00,1920,VE A/C Sleeper (2+1),13,6,3.9,Goa,Pune,442
2588,Manish Roshan Travels,2024-11-07 19:00:00,11hrs 30mins,2024-11-07 06:30:00,1500,A/C Sleeper (2+1),25,12,3.6,Goa,Pune,442
2589,Atmaram Gobus,2024-11-07 19:01:00,10hrs 30mins,2024-11-07 05:31:00,1199,NON A/C Sleeper (2+1),14,7,4.1,Goa,Pune,442
2590,PSR Travels (Vaibhav),2024-11-07 22:30:00,09hrs 00mins,2024-11-07 07:30:00,1899,A/C Sleeper (2+1),27,14,3.6,Goa,Pune,442
2591,Atmaram Travels(GTA),2024-11-07 19:00:00,11hrs 00mins,2024-11-07 06:00:00,1199,A/C Sleeper (2+1),25,14,3.5,Goa,Pune,442
2593,Laxmi Queen Asta,2024-11-07 20:30:00,10hrs 30mins,2024-11-07 07:00:00,1499,A/C Sleeper (2+1),11,5,3.8,Goa,Pune,442
2594,Giroba Travels (Kelkar),2024-11-07 18:00:00,11hrs 30mins,2024-11-07 05:30:00,799,NON A/C Airbus (2+2),20,3,3.8,Goa,Pune,442
2598,Jolly Tours and Travels,2024-11-07 18:30:00,11hrs 15mins,2024-11-07 05:45:00,1899,A/C Sleeper (2+1),26,14,3.5,Goa,Pune,442
2599,Atmaram Travels (Dolphin),2024-11-07 18:30:00,11hrs 00mins,2024-11-07 05:30:00,1150,AC Sleeper (2+1),19,9,3.5,Goa,Pune,442
2601,Sai Travels,2024-11-07 18:30:00,10hrs 15mins,2024-11-07 04:45:00,2000,A/C Sleeper (2+1),30,16,3.4,Goa,Pune,442
2605,Anand Tours And Travels,2024-11-07 22:45:00,09hrs 35mins,2024-11-07 08:20:00,1990,Volvo Multi-Axle A/C Sleeper (2+1) ,22,11,3.4,Goa,Pune,442
2608,Atmaram Travels ( Gogte ),2024-11-07 21:01:00,10hrs 30mins,2024-11-07 07:31:00,1250,NON A/C Sleeper (2+1),22,10,3.6,Goa,Pune,442
2609,Atmaram Travels ( Gogte ),2024-11-07 19:02:00,10hrs 58mins,2024-11-07 06:00:00,1499,A/C Sleeper (2+1),16,8,3.3,Goa,Pune,442
2610,Manish Patil Travels,2024-11-07 15:30:00,11hrs 30mins,2024-11-07 03:00:00,1500,A/C Sleeper (2+1),30,14,3.0,Goa,Pune,442
2611,PVS Tours and Travels,2024-11-07 20:00:00,10hrs 00mins,2024-11-07 06:00:00,4000,Volvo 9600 Multi-Axle A/C Sleeper (2+1),36,18,3.3,Goa,Pune,442
2613,Atmaram Travels (Vishal),2024-11-07 18:10:00,11hrs 55mins,2024-11-07 06:05:00,900,Non AC Seater (2+2),11,2,3.4,Goa,Pune,442
2615,Atmaram Travels (Vaibhav),2024-11-07 22:31:00,10hrs 00mins,2024-11-07 08:31:00,1399,A/C Sleeper (2+1),30,14,2.7,Goa,Pune,442
2617,Giroba Travels (Shree),2024-11-07 19:00:00,11hrs 00mins,2024-11-07 06:00:00,2000,A/C Seater Hi-Tech Push Back (2+2),39,16,3.0,Goa,Pune,442
2619,Ashray Travels,2024-11-07 22:45:00,11hrs 10mins,2024-11-07 09:55:00,2499,Volvo Multi-Axle Sleeper A/C (2+1),25,12,2.6,Goa,Pune,442
2620,Jolly Tours and Travels,2024-11-07 18:30:00,11hrs 15mins,2024-11-07 05:45:00,1800,A/C Seater (2+2),40,18,2.5,Goa,Pune,442
2621,Manish Travels,2024-11-07 16:45:00,12hrs 50mins,2024-11-07 05:35:00,900,NON A/C Seater (2+2),19,4,2.6,Goa,Pune,442
2622,Manish Sharma Travels,2024-11-07 20:00:00,09hrs 45mins,2024-11-07 05:45:00,1500,A/C Sleeper (2+1),29,14,2.0,Goa,Pune,442
2624,Kokan Holidays - Muskan,2024-11-07 16:00:00,12hrs 43mins,2024-11-07 04:43:00,999,NON A/C Sleeper (2+1),13,7,1.9,Goa,Pune,442
2626,Ashray Travels,2024-11-07 20:00:00,12hrs 05mins,2024-11-07 08:05:00,3000,Volvo Multi-Axle A/C Sleeper (2+1) ,24,10,1.2,Goa,Pune,442
2628,Gajal Tours And Travels,2024-11-07 16:00:00,12hrs 30mins,2024-11-07 04:30:00,1650,VE A/C Sleeper (2+1),22,10,5.0,Hyderabad,Pune,562
2629,Tanaaz Travels (Top Bus),2024-11-07 21:40:00,10hrs 20mins,2024-11-07 08:00:00,1699,A/C Sleeper (2+1),19,9,5.0,Hyderabad,Pune,562
2631,Zingbus Plus,2024-11-07 18:50:00,10hrs 50mins,2024-11-07 05:40:00,1326,A/C Sleeper (2+1),27,13,4.7,Hyderabad,Pune,562
2632,Mythri Tours And Travels,2024-11-07 21:30:00,10hrs 00mins,2024-11-07 07:30:00,1449,A/C Sleeper (2+1),20,10,4.7,Hyderabad,Pune,562
2633,IntrCity SmartBus,2024-11-07 21:55:00,10hrs 40mins,2024-11-07 08:35:00,1049,VE A/C Seater / Sleeper (2+1),26,7,4.5,Hyderabad,Pune,562
2635,Jabbar  Travels,2024-11-07 20:40:00,11hrs 50mins,2024-11-07 08:30:00,1250,Bharat Benz A/C Sleeper (2+1),19,6,4.5,Hyderabad,Pune,562
2636,Go Tour Travels and Holidays,2024-11-07 19:15:00,11hrs 00mins,2024-11-07 06:15:00,1499,A/C Sleeper (2+1),20,9,4.5,Hyderabad,Pune,562
2637,Jabbar  Travels,2024-11-07 20:00:00,11hrs 45mins,2024-11-07 07:45:00,1800,Bharat Benz A/C Sleeper (2+1),14,4,4.6,Hyderabad,Pune,562
2638,IntrCity SmartBus,2024-11-07 21:00:00,10hrs 10mins,2024-11-07 07:10:00,1619,A/C Sleeper (2+1),22,11,4.4,Hyderabad,Pune,562
2639,Dolphin  travel  house,2024-11-07 17:00:00,12hrs 00mins,2024-11-07 05:00:00,1500,Bharat Benz A/C Sleeper (2+1),24,11,4.4,Hyderabad,Pune,562
2640,Go Tour Travels and Holidays,2024-11-07 20:15:00,10hrs 45mins,2024-11-07 07:00:00,1749,A/C Sleeper (2+1),16,8,4.5,Hyderabad,Pune,562
2641,Go Tour Travels and Holidays,2024-11-07 18:00:00,11hrs 30mins,2024-11-07 05:30:00,1499,A/C Sleeper (2+1),22,11,4.4,Hyderabad,Pune,562
2642,R National Travels,2024-11-07 21:05:00,10hrs 40mins,2024-11-07 07:45:00,2200,A/C Sleeper (2+1),26,11,4.4,Hyderabad,Pune,562
2643,Prasanna - Purple Bus,2024-11-07 14:15:00,13hrs 30mins,2024-11-07 03:45:00,1500,VE A/C Sleeper (2+1),28,13,4.3,Hyderabad,Pune,562
2644,Go Tour Travels and Holidays,2024-11-07 21:30:00,10hrs 00mins,2024-11-07 07:30:00,1299,A/C Sleeper (2+1),19,8,4.3,Hyderabad,Pune,562
2645,R National Travels,2024-11-07 23:10:00,10hrs 05mins,2024-11-07 09:15:00,2000,VE A/C Sleeper (2+1),34,17,4.1,Hyderabad,Pune,562
2646,Dolphin  travel  house,2024-11-07 21:30:00,12hrs 30mins,2024-11-07 10:00:00,1500,Bharat Benz A/C Sleeper (2+1),25,13,4.2,Hyderabad,Pune,562
2647,IntrCity SmartBus,2024-11-07 18:55:00,11hrs 05mins,2024-11-07 06:00:00,1639,AC Sleeper (2+1),20,11,4.3,Hyderabad,Pune,562
2648,Dolphin  travel  house,2024-11-07 19:00:00,12hrs 30mins,2024-11-07 07:30:00,1500,Bharat Benz A/C Sleeper (2+1),25,13,4.2,Hyderabad,Pune,562
2649,Kakaji travels,2024-11-07 21:30:00,10hrs 00mins,2024-11-07 07:30:00,1400,Volvo Multi-Axle A/C Sleeper (2+1) ,20,11,4.3,Hyderabad,Pune,562
2650,Dolphin  travel  house,2024-11-07 15:00:00,12hrs 30mins,2024-11-07 03:30:00,1500,Bharat Benz A/C Sleeper (2+1),22,10,4.2,Hyderabad,Pune,562
2651,Ramana Tours And Travels,2024-11-07 20:15:00,10hrs 30mins,2024-11-07 06:45:00,1240,A/C Sleeper (2+1),22,12,4.0,Hyderabad,Pune,562
2652,KGN Bus,2024-11-07 22:00:00,09hrs 00mins,2024-11-07 07:00:00,1320,Volvo Multi-Axle A/C Sleeper (2+1),18,7,4.2,Hyderabad,Pune,562
2654,ABT Express,2024-11-07 17:00:00,10hrs 30mins,2024-11-07 03:30:00,2375,A/C Sleeper (2+1),36,18,3.6,Hyderabad,Pune,562
2655,JAGUAR TRAVELS,2024-11-07 21:45:00,10hrs 25mins,2024-11-07 08:10:00,1350,A/C Sleeper (2+1),24,13,3.7,Hyderabad,Pune,562
2656,JAGUAR TRAVELS,2024-11-07 19:45:00,10hrs 15mins,2024-11-07 06:00:00,1530,A/C Sleeper (2+1),27,15,3.6,Hyderabad,Pune,562
2657,BTR Travels,2024-11-07 22:00:00,09hrs 00mins,2024-11-07 07:00:00,1199,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),37,18,3.9,Hyderabad,Pune,562
2658,Gajal Tours And Travels,2024-11-07 21:00:00,10hrs 30mins,2024-11-07 07:30:00,1615,A/C Sleeper (2+1),24,12,3.6,Hyderabad,Pune,562
2660,VRL Travels,2024-11-07 22:00:00,10hrs 00mins,2024-11-07 08:00:00,1200,Volvo 9600 Multi-Axle A/C Sleeper (2+1),14,8,3.6,Hyderabad,Pune,562
2661,IntrCity SmartBus,2024-11-07 20:20:00,09hrs 45mins,2024-11-07 06:05:00,1309,AC Sleeper (2+1),30,15,3.3,Hyderabad,Pune,562
2662,Dolphin  travel  house,2024-11-07 13:40:00,11hrs 15mins,2024-11-07 00:55:00,1500,Bharat Benz A/C Sleeper (2+1),18,8,3.5,Hyderabad,Pune,562
2663,SRT Tours And Travels,2024-11-07 20:00:00,10hrs 30mins,2024-11-07 06:30:00,1329,A/C Sleeper (2+1),16,6,3.5,Hyderabad,Pune,562
2665,PVS Tours and Travels,2024-11-07 16:00:00,15hrs 00mins,2024-11-07 07:00:00,1399,A/C Sleeper (2+1),21,7,3.3,Hyderabad,Pune,562
2667,Dolphin  travel  house,2024-11-07 20:30:00,12hrs 30mins,2024-11-07 09:00:00,1500,Bharat Benz A/C Sleeper (2+1),26,13,3.2,Hyderabad,Pune,562
2668,Indian express,2024-11-07 16:01:00,12hrs 39mins,2024-11-07 04:40:00,1600,A/C Sleeper (2+1),14,7,3.4,Hyderabad,Pune,562
2669,Hans Travels (I) Private Limited,2024-11-07 15:30:00,40hrs 06mins,2024-11-07 07:36:00,3400,Volvo 9600 Multi-Axle A/C Sleeper (2+1),29,15,3.2,Hyderabad,Pune,562
2671,Orange Tours and Travels Grand,2024-11-07 21:00:00,11hrs 00mins,2024-11-07 08:00:00,1700,A/C Sleeper (2+1),23,12,3.1,Hyderabad,Pune,562
2672,Sangita Travels,2024-11-07 20:50:00,11hrs 10mins,2024-11-07 08:00:00,1899,AC Sleeper (2+1),29,15,2.9,Hyderabad,Pune,562
2673,Shreyash Travels,2024-11-07 21:15:00,11hrs 45mins,2024-11-07 09:00:00,3000,A/C Sleeper (2+1),30,10,2.9,Hyderabad,Pune,562
2674,Citizen Bus,2024-11-07 22:00:00,09hrs 00mins,2024-11-07 07:00:00,1800,NON A/C Sleeper (2+1),36,16,2.8,Hyderabad,Pune,562
2675,RAJA EXPRESS,2024-11-07 23:55:00,09hrs 05mins,2024-11-07 09:00:00,1567,A/C Sleeper (2+1),22,11,2.8,Hyderabad,Pune,562
2676,Muskan Travels,2024-11-07 20:00:00,12hrs 30mins,2024-11-07 08:30:00,3600,A/C Sleeper (2+1),36,18,2.7,Hyderabad,Pune,562
2677,Hans Travels (I) Private Limited,2024-11-07 15:00:00,42hrs 35mins,2024-11-07 09:35:00,2400,NON A/C Sleeper (2+1),24,14,3.2,Hyderabad,Pune,562
2678,Orange Tours And Travels,2024-11-07 22:30:00,10hrs 00mins,2024-11-07 08:30:00,1600,Volvo Multi-Axle Sleeper A/C (2+1),33,15,2.5,Hyderabad,Pune,562
2679,Orange Tours And Travels,2024-11-07 15:20:00,13hrs 25mins,2024-11-07 04:45:00,1690,A/C Sleeper (2+1),16,7,2.8,Hyderabad,Pune,562
2680,S B Travels,2024-11-07 21:40:00,12hrs 10mins,2024-11-07 09:50:00,1425,Benz A/C Sleeper (2+1),24,12,2.6,Hyderabad,Pune,562
2681,Orange Tours and Travels Grand,2024-11-07 20:30:00,10hrs 00mins,2024-11-07 06:30:00,1600,A/C Sleeper (2+1),13,6,2.8,Hyderabad,Pune,562
2682,KGN Bus,2024-11-07 19:30:00,12hrs 30mins,2024-11-07 08:00:00,1425,A/C Sleeper (2+1),16,8,2.6,Hyderabad,Pune,562
2683,MY YATRA BUS,2024-11-07 21:15:00,11hrs 45mins,2024-11-07 09:00:00,2500,VE A/C Sleeper (2+1),36,18,2.3,Hyderabad,Pune,562
2684,New Blossom Tour And  Travels,2024-11-07 20:00:00,12hrs 30mins,2024-11-07 08:30:00,1290,A/C Sleeper (2+1),26,13,2.4,Hyderabad,Pune,562
2685,New Blossom Tour And  Travels,2024-11-07 23:00:00,10hrs 45mins,2024-11-07 09:45:00,1300,A/C Sleeper (2+1),25,13,2.4,Hyderabad,Pune,562
2686,Orange Tours And Travels,2024-11-07 22:30:00,09hrs 45mins,2024-11-07 08:15:00,1700,A/C Sleeper (2+1),35,17,2.2,Hyderabad,Pune,562
2688,S B Travels,2024-11-07 20:55:00,12hrs 40mins,2024-11-07 09:35:00,1425,A/C Sleeper (2+1),22,13,2.4,Hyderabad,Pune,562
2689,S B Travels,2024-11-07 20:00:00,13hrs 20mins,2024-11-07 09:20:00,1425,Benz A/C Sleeper (2+1),21,11,2.4,Hyderabad,Pune,562
2690,Ramana Tours And Travels,2024-11-07 20:15:00,10hrs 30mins,2024-11-07 06:45:00,2099,A/C Sleeper (2+1),30,15,2.3,Hyderabad,Pune,562
2691,Citizen Bus,2024-11-07 13:45:00,12hrs 50mins,2024-11-07 02:35:00,1600,Bharat Benz NON A/C Seater / Sleeper (2+1),32,17,2.4,Hyderabad,Pune,562
2692,Muskan Travels,2024-11-07 13:45:00,13hrs 45mins,2024-11-07 03:30:00,5400,A/C Sleeper (2+1),15,8,2.7,Hyderabad,Pune,562
2694,Dolphin  travel  house,2024-11-07 16:00:00,11hrs 15mins,2024-11-07 03:15:00,1490,Bharat Benz A/C Sleeper (2+1),27,14,2.0,Hyderabad,Pune,562
2695,PVS Tours and Travels,2024-11-07 17:30:00,13hrs 30mins,2024-11-07 07:00:00,1400,A/C Sleeper (2+1),20,8,2.1,Hyderabad,Pune,562
2696,Best Express,2024-11-07 23:00:00,09hrs 00mins,2024-11-07 08:00:00,1660,NON A/C Sleeper (2+1),31,15,2.0,Hyderabad,Pune,562
2697,Best Express,2024-11-07 21:15:00,10hrs 20mins,2024-11-07 07:35:00,1770,A/C Sleeper (2+1),24,12,2.0,Hyderabad,Pune,562
2698,Best Express,2024-11-07 21:30:00,10hrs 40mins,2024-11-07 08:10:00,1660,NON A/C Sleeper (2+1),26,13,2.0,Hyderabad,Pune,562
2699,Citizen Bus,2024-11-07 15:05:00,13hrs 10mins,2024-11-07 04:15:00,2000,Bharat Benz A/C Sleeper (2+1),25,7,1.9,Hyderabad,Pune,562
2700,ANMOL TOURS & TRAVELS,2024-11-07 21:00:00,11hrs 30mins,2024-11-07 08:30:00,8550,Bharat Benz A/C Sleeper (2+1),36,18,2.1,Hyderabad,Pune,562
2703,DHANUNJAYA TRAVELS,2024-11-07 21:15:00,11hrs 50mins,2024-11-07 09:05:00,1299,A/C Sleeper (2+1),26,13,1.2,Hyderabad,Pune,562
2704,DHANUNJAYA TRAVELS,2024-11-07 14:40:00,13hrs 20mins,2024-11-07 04:00:00,1500,A/C Sleeper (2+1),10,3,1.5,Hyderabad,Pune,562
2705,KGN Bus,2024-11-07 17:25:00,11hrs 20mins,2024-11-07 04:45:00,1330,NON A/C Sleeper (2+1),16,9,1.3,Hyderabad,Pune,562
2706,Shirdi Xpress	,2024-11-07 20:00:00,11hrs 00mins,2024-11-07 07:00:00,2990,Volvo Multi Axle B9R A/C Sleeper (2+1),36,18,1.0,Hyderabad,Pune,562
2707,BTR Travels,2024-11-07 22:00:00,09hrs 00mins,2024-11-07 07:00:00,1499,A/C Sleeper (2+1),17,9,1.0,Hyderabad,Pune,562
2708,MY YATRA BUS,2024-11-07 23:30:00,11hrs 30mins,2024-11-07 11:00:00,2500,Non A/C Seater / Sleeper (2+1),42,21,1.0,Hyderabad,Pune,562
2709,PRAMUKH TRAVELS,2024-11-07 22:30:00,10hrs 10mins,2024-11-07 08:40:00,1399,Volvo 9600 Multi-Axle A/C Sleeper (2+1),31,16,4.8,Hyderabad,Bengaluru,576
2710,PRAMUKH TRAVELS,2024-11-07 19:15:00,09hrs 45mins,2024-11-07 05:00:00,1199,Volvo 9600 Multi-Axle A/C Sleeper (2+1),32,18,4.7,Hyderabad,Bengaluru,576
2711,KSM Roadways,2024-11-07 20:45:00,09hrs 00mins,2024-11-07 05:45:00,1429,Bharat Benz A/C Sleeper (2+1),24,12,4.8,Hyderabad,Bengaluru,576
2712,Indian Bus,2024-11-07 21:35:00,11hrs 10mins,2024-11-07 08:45:00,990,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),25,12,3.8,Hyderabad,Bengaluru,576
2713,Mythri Tours And Travels,2024-11-07 20:45:00,10hrs 00mins,2024-11-07 06:45:00,1369,A/C Sleeper (2+1),21,9,4.8,Hyderabad,Bengaluru,576
2714,BSR Tours And Travels,2024-11-07 20:40:00,09hrs 20mins,2024-11-07 06:00:00,1369,A/C Sleeper (2+1),28,10,4.7,Hyderabad,Bengaluru,576
2715,TVK TRAVELS,2024-11-07 22:35:00,08hrs 40mins,2024-11-07 07:15:00,1529,Bharat Benz A/C Sleeper (2+1),19,7,4.8,Hyderabad,Bengaluru,576
2716,KSM Roadways,2024-11-07 21:20:00,08hrs 25mins,2024-11-07 05:45:00,2499,Bharat Benz A/C Sleeper (1+1),18,13,5.0,Hyderabad,Bengaluru,576
2717,Go Tour Travels and Holidays,2024-11-07 19:00:00,10hrs 00mins,2024-11-07 05:00:00,1199,Volvo 9600 Multi-Axle A/C Sleeper (2+1),27,15,4.7,Hyderabad,Bengaluru,576
2718,Yolo Bus,2024-11-07 19:00:00,12hrs 54mins,2024-11-07 07:54:00,970,Bharat Benz A/C Sleeper (2+1),30,15,4.5,Hyderabad,Bengaluru,576
2719,KSM Roadways,2024-11-07 23:45:00,09hrs 40mins,2024-11-07 09:25:00,1599,A/C Volvo B11R Multi-Axle Sleeper (2+1),32,15,4.6,Hyderabad,Bengaluru,576
2720,Zingbus Plus,2024-11-07 22:25:00,11hrs 20mins,2024-11-07 09:45:00,989,A/C Sleeper (2+1),25,12,4.6,Hyderabad,Bengaluru,576
2721,KSM Roadways,2024-11-07 23:00:00,08hrs 05mins,2024-11-07 07:05:00,1829,A/C Volvo B11R Multi-Axle Sleeper (2+1),25,12,4.7,Hyderabad,Bengaluru,576
2722,Rajesh Transports,2024-11-07 23:00:00,09hrs 30mins,2024-11-07 08:30:00,1299,Volvo 9600 Multi-Axle A/C Sleeper (2+1),24,9,4.7,Hyderabad,Bengaluru,576
2723,Intercity travels,2024-11-07 23:30:00,09hrs 00mins,2024-11-07 08:30:00,1199,Bharat Benz A/C Sleeper (2+1),22,12,4.7,Hyderabad,Bengaluru,576
2724,Rajesh Transports,2024-11-07 22:30:00,10hrs 10mins,2024-11-07 08:40:00,1299,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21,10,4.7,Hyderabad,Bengaluru,576
2725,IntrCity SmartBus,2024-11-07 17:25:00,12hrs 50mins,2024-11-07 06:15:00,639,A/C Seater / Sleeper (2+1),35,15,4.4,Hyderabad,Bengaluru,576
2726,Sri Tulasi Tours and Travels,2024-11-07 18:30:00,11hrs 00mins,2024-11-07 05:30:00,1899,A/C Sleeper (2+1),22,13,4.8,Hyderabad,Bengaluru,576
2727,Shyamoli Paribahan Pvt Ltd,2024-11-07 23:25:00,10hrs 05mins,2024-11-07 09:30:00,1304,A/C Sleeper (2+1),23,10,4.7,Hyderabad,Bengaluru,576
2728,Jabbar  Travels,2024-11-07 19:20:00,09hrs 50mins,2024-11-07 05:10:00,900,Scania Multi-Axle AC Semi Sleeper (2+2),28,14,4.5,Hyderabad,Bengaluru,576
2729,IntrCity SmartBus,2024-11-07 21:20:00,11hrs 05mins,2024-11-07 08:25:00,1159,AC Sleeper (2+1),25,10,4.6,Hyderabad,Bengaluru,576
2730,SL Travels,2024-11-07 20:10:00,08hrs 50mins,2024-11-07 05:00:00,899,A/C Sleeper (2+1),23,11,4.6,Hyderabad,Bengaluru,576
2731,KSM Roadways,2024-11-07 23:05:00,07hrs 55mins,2024-11-07 07:00:00,1919,A/C Volvo B11R Multi-Axle Sleeper (2+1),27,13,4.6,Hyderabad,Bengaluru,576
2732,Intercity travels,2024-11-07 20:30:00,10hrs 00mins,2024-11-07 06:30:00,1199,Bharat Benz A/C Sleeper (2+1),23,11,4.6,Hyderabad,Bengaluru,576
2733,Royal Rich India,2024-11-07 12:20:00,11hrs 25mins,2024-11-07 23:45:00,950,Bharat Benz A/C Sleeper (2+1),24,11,4.6,Hyderabad,Bengaluru,576
2734,VSR Tours and Travels,2024-11-07 20:40:00,10hrs 20mins,2024-11-07 07:00:00,899,A/C Sleeper (2+1),23,11,4.5,Hyderabad,Bengaluru,576
2735,Sri Durgamba Travels,2024-11-07 21:45:00,10hrs 45mins,2024-11-07 08:30:00,1000,A/C Sleeper (2+1),34,16,4.4,Hyderabad,Bengaluru,576
2736,KSM Roadways,2024-11-07 22:00:00,08hrs 35mins,2024-11-07 06:35:00,1719,Bharat Benz A/C Sleeper (2+1),20,10,4.7,Hyderabad,Bengaluru,576
2737,Delta Transports Pvt Ltd,2024-11-07 18:20:00,09hrs 30mins,2024-11-07 03:50:00,2000,Volvo 9600 Multi-Axle A/C Sleeper (2+1),30,12,4.6,Hyderabad,Bengaluru,576
2738,November Travels,2024-11-07 20:25:00,11hrs 45mins,2024-11-07 08:10:00,1020,Bharat Benz A/C Sleeper (2+1),25,11,4.5,Hyderabad,Bengaluru,576
2739,Jabbar  Travels,2024-11-07 22:30:00,08hrs 30mins,2024-11-07 07:00:00,900,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),33,12,4.3,Hyderabad,Bengaluru,576
2740,Intercity travels,2024-11-07 23:45:00,09hrs 45mins,2024-11-07 09:30:00,1099,Bharat Benz A/C Sleeper (2+1),26,13,4.5,Hyderabad,Bengaluru,576
2741,Zingbus Plus,2024-11-07 22:55:00,11hrs 30mins,2024-11-07 10:25:00,1016,Scania AC Multi Axle Sleeper (2+1),30,17,4.4,Hyderabad,Bengaluru,576
2742,Jabbar  Travels,2024-11-07 19:20:00,10hrs 35mins,2024-11-07 05:55:00,900,NON AC Seater / Sleeper 2+1,24,12,4.4,Hyderabad,Bengaluru,576
2743,Go Tour Travels and Holidays,2024-11-07 23:00:00,09hrs 00mins,2024-11-07 08:00:00,1199,Scania AC Multi Axle Sleeper (2+1),28,16,4.4,Hyderabad,Bengaluru,576
2744,Ramana Tours And Travels,2024-11-07 21:02:00,09hrs 43mins,2024-11-07 06:45:00,1080,A/C Sleeper (2+1),26,14,4.4,Hyderabad,Bengaluru,576
2745,Go Tour Travels and Holidays,2024-11-07 22:00:00,09hrs 30mins,2024-11-07 07:30:00,1199,Scania AC Multi Axle Sleeper (2+1),28,13,4.4,Hyderabad,Bengaluru,576
2746,BSR Tours And Travels,2024-11-07 22:30:00,11hrs 00mins,2024-11-07 09:30:00,1280,Scania AC Multi Axle Sleeper (2+1),21,10,4.5,Hyderabad,Bengaluru,576
2747,Yolo Bus,2024-11-07 20:46:00,12hrs 10mins,2024-11-07 08:56:00,900,Bharat Benz A/C Sleeper (2+1),17,8,4.6,Hyderabad,Bengaluru,576
2748,Zingbus Plus,2024-11-07 20:05:00,10hrs 40mins,2024-11-07 06:45:00,1092,A/C Sleeper (2+1),26,13,4.4,Hyderabad,Bengaluru,576
2749,CMR Express,2024-11-07 23:05:00,08hrs 35mins,2024-11-07 07:40:00,1050,A/C Sleeper (2+1),26,12,4.4,Hyderabad,Bengaluru,576
2750,Vikram Travels,2024-11-07 22:20:00,09hrs 10mins,2024-11-07 07:30:00,969,A/C Sleeper (2+1),20,9,4.5,Hyderabad,Bengaluru,576
2751,IntrCity SmartBus,2024-11-07 18:35:00,12hrs 45mins,2024-11-07 07:20:00,699,A/C Seater / Sleeper (2+1),36,13,4.2,Hyderabad,Bengaluru,576
2752,Jabbar  Travels,2024-11-07 22:30:00,08hrs 45mins,2024-11-07 07:15:00,1000,Scania AC Multi Axle Sleeper (2+1),24,7,4.4,Hyderabad,Bengaluru,576
2753,Jabbar  Travels,2024-11-07 23:20:00,08hrs 40mins,2024-11-07 08:00:00,612,NON A/C Semi Sleeper / Sleeper (2+1),22,12,4.4,Hyderabad,Bengaluru,576
2754,GreenLine Travels And  Holidays,2024-11-07 21:30:00,09hrs 45mins,2024-11-07 07:15:00,1249,VE A/C Sleeper (2+1),20,11,4.5,Hyderabad,Bengaluru,576
2756,BSR Tours And Travels,2024-11-07 20:40:00,09hrs 20mins,2024-11-07 06:00:00,1480,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19,10,4.5,Hyderabad,Bengaluru,576
2757,V Kaveri Travels,2024-11-07 17:40:00,13hrs 50mins,2024-11-07 07:30:00,850,Volvo Multi-Axle A/C Sleeper (2+1) ,21,7,4.4,Hyderabad,Bengaluru,576
2758,Vikram Travels,2024-11-07 21:00:00,09hrs 30mins,2024-11-07 06:30:00,1049,A/C Sleeper (2+1),17,9,4.5,Hyderabad,Bengaluru,576
2759,Shyamoli Paribahan Pvt Ltd,2024-11-07 18:00:00,09hrs 15mins,2024-11-07 03:15:00,1200,Volvo 9600 Multi-Axle A/C Sleeper (2+1),32,16,4.3,Hyderabad,Bengaluru,576
2761,BSR Tours And Travels,2024-11-07 18:30:00,10hrs 00mins,2024-11-07 04:30:00,1709,Volvo 9600 Multi-Axle A/C Sleeper (2+1),16,8,4.6,Hyderabad,Bengaluru,576
2762,Highline Transports,2024-11-07 23:30:00,09hrs 00mins,2024-11-07 08:30:00,860,VE A/C Sleeper (2+1),21,9,4.4,Hyderabad,Bengaluru,576
